CODGEO;POPU;MEDECINS
02448;116,0;0,00
02449;83,0;0,00
02450;375,0;0,00
02451;127,0;0,00
02452;244,0;0,00
02453;431,0;0,00
02454;413,0;0,00
02455;189,0;0,00
02456;314,0;0,00
02457;376,0;0,00
02458;275,0;0,00
02459;163,0;0,00
02460;220,0;0,00
02461;340,0;0,00
02462;261,0;0,00
02463;81,0;0,00
02464;336,0;0,00
02465;472,0;0,00
02466;132,0;0,00
02467;58,0;0,00
02468;2375,0;10,00
02469;425,0;5,00
02470;447,0;0,00
02471;120,0;0,00
02472;448,0;0,00
02473;180,0;0,00
02474;421,0;0,00
02475;409,0;0,00
02476;654,0;1,00
02477;943,0;3,00
02478;280,0;0,00
02479;92,0;0,00
02480;297,0;0,00
02481;451,0;0,00
02482;52,0;0,00
02483;540,0;1,00
02484;529,0;0,00
02485;111,0;0,00
02486;112,0;0,00
02487;682,0;0,00
02488;147,0;0,00
02489;318,0;0,00
02490;134,0;0,00
02491;344,0;0,00
02492;470,0;0,00
02493;235,0;0,00
02494;117,0;0,00
02495;1003,0;0,00
02496;121,0;0,00
02497;1176,0;4,00
02498;749,0;0,00
02499;44,0;0,00
02500;821,0;2,00
02501;63,0;0,00
02502;1507,0;9,00
02503;868,0;0,00
02504;1691,0;4,00
02505;190,0;0,00
02506;204,0;0,00
02507;34,0;0,00
02508;129,0;0,00
02509;149,0;0,00
02510;147,0;0,00
02511;304,0;0,00
02512;272,0;0,00
02513;156,0;0,00
02514;677,0;6,00
02515;82,0;0,00
02516;70,0;0,00
02517;317,0;0,00
02518;259,0;0,00
02519;156,0;0,00
02520;697,0;0,00
02521;1396,0;3,00
02522;79,0;0,00
02523;88,0;0,00
02524;692,0;0,00
02525;602,0;0,00
02526;112,0;0,00
02527;425,0;0,00
02528;241,0;0,00
02529;203,0;0,00
02530;103,0;0,00
02531;126,0;0,00
02532;985,0;11,00
02533;136,0;0,00
02534;48,0;0,00
02535;134,0;0,00
02536;89,0;0,00
02537;157,0;0,00
02538;64,0;0,00
02539;703,0;4,00
02540;1228,0;0,00
02541;409,0;2,00
